fog_label,received_messages_counter,direct_messages_counter,redirect_messages_counter,lost_messages
0,0,0,0,147
1,7267,728,6539,141
2,7402,710,6692,126
3,7356,663,6693,192
4,7461,636,6825,143
5,7439,670,6769,163
6,7484,636,6848,164
7,7386,648,6738,165
8,7573,647,6926,145
9,7308,707,6601,151
10,7342,658,6684,0
